Model Name,2018,2017
BYD e5 300/450  EV,270000,110000
Chery EQ EV,240000,175000
BYD Yuan EV,200000,40000
BJEV EC180/200 EV,120000,125000
BYD Tang PHEV,62000,25000
BYD Song PHEV,60000,35000
Dongfeng EC36 EV,58000,42000
SAIC Roewe Ei5 PHEV,40000,20000
BMW 530Le  PHEV,38000,12000
JAC iEV7S EV,20000,30000
Link Tour E-series EV,42000,25000
